feature,r2_against_other_features,partial_r2,vif,vif_flag
happy,0.9564979415476664,0.9564979415476664,22.987417965421756,strong
pleasant,0.9526292011053799,0.9526292011053799,21.110051410037947,strong
unpleasant,0.9482932701641401,0.9482932701641401,19.33984228309243,strong
sound,0.9465120549108551,0.9465120549108551,18.695801424664282,strong
speech,0.9461302603668696,0.9461302603668696,18.563297443245695,strong
audition,0.9452983247444768,0.9452983247444768,18.280975771377882,strong
face,0.942752847657379,0.942752847657379,17.468117785406264,strong
motion,0.942748000635073,0.942748000635073,17.466638913795,strong
loud,0.9372024606304951,0.9372024606304951,15.924190820852594,strong
biomotion,0.9347662596327244,0.9347662596327244,15.329490450338314,strong
body,0.931493892761522,0.931493892761522,14.597238703388575,strong
human,0.9261042151208833,0.9261042151208833,13.532571602505628,strong
fast,0.9245265733895454,0.9245265733895454,13.2496965476519,strong
arousal,0.9233658813477287,0.9233658813477287,13.049018082109326,strong
consequential,0.9170563319329159,0.9170563319329159,12.05637540880407,strong
texture,0.906347616564992,0.906347616564992,10.677784839229107,strong
pattern,0.9025022988267506,0.9025022988267506,10.256652084781374,strong
shape,0.898294195467698,0.898294195467698,9.832280513374211,warning
fearful,0.8947198270044351,0.8947198270044351,9.49846463533192,warning
vision,0.8936276726726854,0.8936276726726854,9.400941251599532,warning
duration,0.887723954293128,0.887723954293128,8.906619339006467,warning
taste,0.8859503818949875,0.8859503818949875,8.768113533525723,warning
angry,0.8841246091927452,0.8841246091927452,8.629960106571575,warning
touch,0.8830626073845822,0.8830626073845822,8.551584549937651,warning
large,0.8802387184177536,0.8802387184177536,8.34994404525679,warning
harm,0.8801010363429338,0.8801010363429338,8.340355658620952,warning
attention,0.8779623578612208,0.8779623578612208,8.194193057768327,warning
color,0.8726370060905502,0.8726370060905502,7.851574223443282,warning
low,0.8707764470946995,0.8707764470946995,7.7385273622126345,warning
weight,0.8675054230512146,0.8675054230512146,7.547478719725571,warning
high,0.8616187102266873,0.8616187102266873,7.226410460822672,warning
near,0.8611467957243543,0.8611467957243543,7.201850365763549,warning
small,0.8597585781947091,0.8597585781947091,7.130560907949046,warning
caused,0.8575289769288512,0.8575289769288512,7.018971145456074,warning
disgusted,0.8567412038661082,0.8567412038661082,6.980374168894907,warning
short,0.8567360327801041,0.8567360327801041,6.980122213599599,warning
practice,0.8490976940588961,0.8490976940588961,6.626803969385949,warning
path,0.846509890849559,0.846509890849559,6.515077782763611,warning
social,0.8455398137323331,0.8455398137323331,6.474160262030772,warning
surprised,0.8445876319983351,0.8445876319983351,6.43449432537626,warning
sad,0.8443766772901603,0.8443766772901603,6.425772066726168,warning
music,0.8347761921718415,0.8347761921718415,6.052396522903364,warning
smell,0.8276780633124879,0.8276780633124879,5.80309169698688,warning
pain,0.8263150950526315,0.8263150950526315,5.7575527378330795,warning
communication,0.8250930507187159,0.8250930507187159,5.717325721528691,warning
drive,0.8224576878700613,0.8224576878700613,5.632460161204421,warning
needs,0.8190877128369904,0.8190877128369904,5.527540531832192,warning
benefit,0.8189912927609573,0.8189912927609573,5.524596110613538,warning
cognition,0.8146398391265903,0.8146398391265903,5.394902525375679,warning
time,0.8129467429582051,0.8129467429582051,5.3460710378144425,warning
landmark,0.8040238541611402,0.8040238541611402,5.1026618352941995,warning
bright,0.7977107475577021,0.7977107475577021,4.943416360121483,ok
complexity,0.7882241742737346,0.7882241742737346,4.721974269587161,ok
scene,0.7817552498765343,0.7817552498765343,4.582011706738783,ok
toward,0.7805442282229831,0.7805442282229831,4.5567268151692675,ok
head,0.7671256049592685,0.7671256049592685,4.294160376992466,ok
long,0.766291471662957,0.766291471662957,4.27883401224387,ok
self,0.7661045914299528,0.7661045914299528,4.275415264085952,ok
slow,0.7378060946095061,0.7378060946095061,3.813971184839966,ok
away,0.7317478373222323,0.7317478373222323,3.727835742376582,ok
upperlimb,0.7184629165711955,0.7184629165711955,3.5519299547367855,ok
dark,0.6743707354460738,0.6743707354460738,3.0709770553635054,ok
temperature,0.6597997741771029,0.6597997741771029,2.939445432704046,ok
lowerlimb,0.6299529718332908,0.6299529718332908,2.7023592243240278,ok
number,0.4684164720079449,0.4684164720079449,1.881171908725783,ok
